_name_,_date_,_ageGroup_,_sex_,_userCategory_,_loyality_,_conditionInfo_,_Satisfaction_,_Effectiveness_,_EaseofUse_,_helpful_,_comment_
,12/4/2015 16:59,(19-24),Male,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,1,3,3,9,This amphetamine salt was a nightmare  I was prescribed it as a child and didn't know the side effects yet still ended up spitting it into the bush outside my house a majority of times because of how it impacted my thinking and cranked me out. This type of drug is completely last resort and I would recommend anyone think twice before taking it
Tee42,11/26/2015 11:54,(35-44),Female,Patient,1 to less than 2 years,Attention Deficit Disorder with Hyperactivity,5,5,5,22,I'm 42  wasn't diagnosed until last year with ADHD I tried Ritalin with no help  then was prescribed Adderall 10md 4 times a day and I haven't felt better.  I have bipolar  anxiety  depression  panic attack  and many back issues.  I couldn't figure out why I couldn't stay focused or I was in bed 24/7 until I started taking Adderal I actually out of my  I can focus on tasks and get thing done.  I'm thankful my psych dr finally figured out it.
joeo,11/22/2015 11:26,(45-54),Male,None,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,4,5,5,17,I'm 52yrs old and taking 45mgs a day. I run 5 day's a week and never felt better. Cardio wise I'm in tip top shape  BP While on adderall at its peak is 125/82 pulse mid 70s (have BP machine at home)Pulse in morning when waking up 55-58 beats per minute(due to my running) BP 110/70..So for me after taking adderall in the morning about 2hrs after taking first dose it goes up slightly  but not alarming...So to answer peoples question about taking adderall AS YOU get older its all how you take care of yourself and Genetics  Coming from a family (on both sides) with no BP problems or heart conditions runs in my favor..Main thing eat right  keep your weight down and get active  Even a brisk walk 30 minutes a day will do the trick...
rangerwife,11/17/2015 15:24,(25-34),Female,Patient,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,4,4,5,16,I tried 6 different ADHD medications that did not work before I started Adderall (diagnosed when I was 18). I wanted to avoid it if at all possible due to its stigma and popularity on the streets. I regret not trying it sooner because it works wonders for me! I am prescribed 30mg twice daily (i have severe ADHD) and it's really helpful. The reason I didn't give it 5 stars is because I do find if I take it for an extended period of time it becomes less effective  but when that happens i'll stop taking it for about a week or two and it will go back to working like a charm. I'm so glad I am prescribed it  every aspect of my life has improved since taking Adderall. it made my ADHD easier to manage  my social life better  my marks increased significantly  and helped basically every negative symptom that comes with having ADHD. One downside I will mention  it is very expensive.
,11/14/2015 16:59,(45-54),Female,Caregiver,less than 1 month,Attention Deficit Disorder with Hyperactivity,1,2,3,8,My 7 year old daughter tried this for ADHD.  This was the 8th ADHD we have tried and by far the worst.  She could not sleep for 37 hours.  She was picking at her skin and couldn't settle down.  We only did it one day and will not do again.
,11/5/2015 11:53,(45-54),Female,Patient,10 years or more,Other,5,5,5,2,Adderall helps me to stay focused which makes it easier to stay on task.
redboy,11/2/2015 10:51,(19-24),Male,Patient,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,2,5,5,7,"in the short term it leaves you with a ease and you can focuses more but it in long term effects you ability to interact with others it makes you think before you act....on every thing so before you say something you have to think what will happen after you say it what could be said in response and in the time its taking you to finger this out 30  40 min pass by and you look as if you are ignoring some one or not willing to engage in conversation so as long as you arnt on this long enough to keep these habits when you stop taking it then you are good or better yet if you start taking it at an older age you might be able to not take effect to this so to all you parents I recommend not giving your child this simply because they are a little hyper because it could ""mess them up"" in the long run"
Guardmom,10/26/2015 2:50,(45-54),Female,Patient,2 to less than 5 years,Recurring Sleep Episodes During the Day,4,4,4,1,Narcolepsy type episodes after a concussion. 3rd shift worker in a job where I CANNOT doze off  and would doze off during the day  even after sleeping. Been on treatment for about 3 years. 20mg. 3x day. Has helped to where I can work and function in a normal way. Still have some moments  but try to take a day or so where I don't take any so don't get too used to it. Overall  gave me a life back.
bmsm01,10/19/2015 22:58,(25-34),Female,Patient,10 years or more,Attention Deficit Disorder with Hyperactivity,5,5,5,17,Living with ocd & add is tough and this drug helps me immensely! I've been on 20mg's 2x per day for over 10 years. I have a very hard time without it and I'm grateful it's available to those of us who suffer from these types of disorders!
jam,10/16/2015 17:02,(55-64),Female,Patient,1 to less than 2 years,Recurring Sleep Episodes During the Day,3,3,4,4,There are times when it seems to work. But much of the time I do not notice any difference at all. There have been times when I actually question if I am getting a placebo med and not actually receiving the real med? I know that sounds really crazy but one should not fall asleep after taking one 30mg and a half og one or 45mg. If anyone has experienced anything similAR I would like to hear their story. Just trying to keep my eyes open during the day. I no longer will attempt a trip 120 miles away by myself for fear of nodding off. I take 3 30mg tabs per day. 1 1/2 twice a day.
linnie,10/11/2015 15:35,(65-74),Female,Patient,10 years or more,Attention Deficit Disorder with Hyperactivity,4,4,5,19,"Female  64 and had attention help all life.
At college had some help but told to use a recorder for notes. I did well  but I knew I needed more. This medication was my answerer. I have taken it for so long at  the same dose amount and feel fine. I wish more doctors were available to help. Growing older  I feel there is a lot of information out there and doctors more up to date with the answers."
,9/2/2015 14:17,(19-24),Female,Patient,1 to less than 2 years,Attention Deficit Disorder with Hyperactivity,1,2,4,9,I cannot take this pill because it makes me feel jittery and I can't have it in the house because my mom is a recovering adderall addict
john,8/22/2015 22:51,(13-18),Male,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,4,4,5,4,
Kingcleopatra,8/22/2015 3:15,(19-24),Female,Patient,less than 1 month,Attention Deficit Disorder with Hyperactivity,4,4,5,15,I just recently began getting treatment for my adhd. The first drug my psychologist prescribed me was  straterra  which is a non stimulant. I was suppose to take it 3 weeks but after 2 & 1/2 weeks I decided that was enough. I absolutely hated it ! It made me nauseated & constipated. It made me very tired  but I still couldn't sleep. It was not helping me concentrate and put me in a terrible mood. I went back to my psychiatrist and was prescribed adderall xr generic brand by Barr. It's amazing ! It's puts me in a great mood  I'm able to concentrate  and I'm not experiencing many side effects. Only thing I notice is it doesn't really last as long as it's suppose to. I work in a fast paced environment and I'm constantly running around dealing with patients which speeds up my metabolism and makes it wear off pretty fast. Also the first morning I took it I had to take 2 otc sleeping pills which I didn't feel until hours later. It's day 3 now and it was busy at work so it wore off fast. I got home and was ready to sleep  but here it is 2
Barry,8/18/2015 5:37,(35-44),Male,Patient,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,5,5,5,20,I didn't find Adderall until I was halfway through college in my early 30's  it has been a God send! I don't have much of the hyperactivity but it simply allows me to concentrate on one thing at a time  something that I didn't know was even possible. I was drinking insane amounts of caffeine prior to starting which I found out was a way to self medicate. I don't take it everyday  only those that I need full concentration on items. The only drawbacks that I have found is I don't like eating after I take it  I grind my teeth and periodically have problems sleeping. Beyond that it is AWESOME!
,8/16/2015 20:14,(35-44),Female,Patient,less than 1 month,Attention Deficit Disorder with Hyperactivity,5,5,5,12,So far so good!  It has been one week and a big bonus was my improved mood.  I was very cynical before I started taking Adderall.  But most importantly I am definitely more alert and my mind is sharper.  I am so glad that I was prescribed!
,8/11/2015 19:18,(45-54),Female,Patient,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,5,5,3,3,I have been on Adderall 20mg's for many years  and have not had any issues with it  except for forgetting to take it in the afternoon. My doctor took me off 20mg's three times a day  and knocked it down to twice a day  then down to once a day. Not that i am more active  and notice i become a bit out of it  of foggy in the afternoon  my doctor thought maybe the Adderall XR would be better  as i would only be taking it in the morning  but it would last all day.
StreetLeader,8/1/2015 22:46,(45-54),Male,Patient,less than 1 month,Attention Deficit Disorder with Hyperactivity,4,5,5,9,After 18 months of realizing something was wrong - no concentration  lack of focus  depressive moods  sleeping disorders and overall funk  I broke down and saw a doctor. He prescribed 30mg twice a day. WOW what a difference. I am staying on task  getting things done  people have noticed the upswing in mood and activity. Worst side effect is the tingling in feet and hands but workable. Loss of appetite - so I force myself to munch on healthy snacks during day. DRINK LOTS OF WATER. Dry mouth and grinding teeth does happen. Overall 4.5 stars.
,7/30/2015 7:07,(55-64),Female,Patient,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,5,4,5,9,I have had the same experiences as just about every post in this blog. I was finally diagnosed as an adult with ADD in my late 40's. I have been on Strattera with little to no effect  Vyvanse and Adderall XR that didnt last through the day and now for the last 2 years have been on 40 mg of the regular Adderall  20 mg in a.m. 10 at noon and 10 at 4. However I found myself in a terrible slump last month  binge eating  anxiety attacks and all I wanted to do was sleep. Then one morning I accidentally took a double dose (40 mg).  Immediately my depression disappeared and I was able to get off my couch on the weekends and didn't dread going in to work.Since then I have been taking 30mg in the a.m. and 10-20mg in the afternoon. I have an appt. with my doc. in a few weeks to discuss this  but I was wondering if anyone else has had a similar experience and if so what did you do?
,6/22/2015 7:47,(35-44),Male,Patient,less than 1 month,Attention Deficit Disorder with Hyperactivity,4,4,5,1,
sunshine,6/18/2015 20:01,(35-44),Female,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,5,5,5,12,I am more focused and am able to complete my tasks from beginning to end without any interruptions. I have tried every ADHD medication out there and I am completely satisfied and relieved to be taking the correct medication and finally living a normal life...thank you Adderall!!
MomofMany,6/11/2015 17:00,(25-34),Female,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,2,3,5,5,I have suffered from ADHD my whole life. after having 4 kids  I decided to try meds again to help my focus. As a stimulant  Adderall gave me intense panic attacks  anxiety  and insomnia. I also completely lost my sense of humor. I felt like the anxiety and stress offset any benefits of focus I might have had related to the drug and after a month I had to switch. I found Strattera which is a non-stimulant MUCH more effective.
,6/10/2015 18:11,(35-44),Female,None,None,Recurring Sleep Episodes During the Day,4,5,5,2,"Has changed my life significantly.  I'm able to stay awake and not plan my day around my next nap. I'm more productive and focused at work. I'm starting to think though that my body is getting used to it so am talking to my Dr. about taking ""days off"" or changing the dose during the day.  Definitely worth trying if you are struggling with abnormal sleep patterns."
jbrill,6/2/2015 11:57,(35-44),Female,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,2,2,4,4,Diagnosed with ADD last fall - this was the first med I tried.  Almost 30 minutes on the nose after I would take it  I would feel it kick in.  I would get really hyper (ironically) and feel that I was working faster  but I didn't feel like it really helped with my attention and focus.  And then when it would wear off  I would crash really hard.  It would feel like I was coming down with the flu
Moneypennie,5/28/2015 22:17,(25-34),Female,Patient,5 to less than 10 years,Recurring Sleep Episodes During the Day,5,5,5,6,"The generic brand matters! 
Generic Teva"
ivan,5/20/2015 3:12,(35-44),Male,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,4,3,4,1,
LA,5/12/2015 12:38,(45-54),Female,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,5,5,5,13,I have long had bipolar2 disorder as well as ADHD.My severe and extensive depressive episodes made focusing on anything  especially reading impossible For 3 years now I have been taking 60 mg/day of Adderall and the benefits have been many .Especially excellent  is that it has had great effect of lifting my deep and debilitating depression.
mlb123,4/24/2015 7:26,(35-44),Female,Patient,1 to less than 2 years,Attention Deficit Disorder with Hyperactivity,4,5,5,18,Im 43 yrs old and just diagnosed with adhd  severe depression  anxiety disorder  and bipolar disorder. Had i been diagnosed with all these earlier in life things would have been much easier. But i was on the extended release  didnt work for me but the immediate release was a life saver. I was so bad i may have lost my job from being so unproductive. I have been hospitalized 3 times and was immediately taken off of it  i was on 20mg 3x a day. Once they got me correctly diagnosed  my doctor started me back on it at 10mg 2x day and im a different person. I say its a miracle drug for me. It can be addictive though  so you just need to be careful and takeas directed.
alpha921,4/23/2015 4:02,(55-64),Male,Patient,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,5,5,5,21,Totally changed my life  especially with regard to decision-making  overcoming self-imposed obstacles to  take positive action  and enhancing inter-personal relationships. I have received much positive feedback from friends and associates about changes which have occurred with no real conscious effort on my part. They just happened.
gale,4/16/2015 12:53,(65-74),Female,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,5,4,4,7,This medication has really worked for me!  I seem to be calmer and not as distracted.
SquibblyDibbs,4/13/2015 21:27,(45-54),Female,Patient,2 to less than 5 years,Other,5,5,4,8,I was diagnosed with ADD very late in life
Leopard,4/9/2015 22:21,(55-64),Female,Patient,6 months to less than 1 year,Recurring Sleep Episodes During the Day,3,4,3,0,Generics don't help my narcolepsy and ADHD. I was able to get adderall XR 10 years ago but why can't I get it prescribed now? I was on it was almost 2 years. It helped me finish and follow through quality of life chores such as getting a job. Now the generic does barely anything. I know chemistry changes but what is really the ingredient?
DOLPHIN,4/8/2015 9:05,(19-24),Male,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,5,5,4,4,Godsend
CobraKai4Ever,4/7/2015 10:48,(25-34),Male,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,2,2,4,4,Never last long enough  and you have too many crappy generics out there.
bcolm712,4/4/2015 23:31,(55-64),Male,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,4,4,5,16,My mental focus is greatly improved. After using it for 3.5 yrs  I still find it effective. I was given this drug only after reserching it and being proactive. I was my only advocate. My life would have been very different if I had been properly diagnosed and treated.
WantToBeActive,4/2/2015 20:39,(35-44),Female,Patient,6 months to less than 1 year,Recurring Sleep Episodes During the Day,3,3,5,3,"I have had excessive daytime sleepiness since I was 12. I constantly feel exhausted and before Adderall  I longed to be able to take a nap (even if I slept 14 hours). That is what I looked forward to do. Sad. I asked my neurologist to let me try it and because he knows me (and my kooky  holistic  try NOT to take meds  gluten-free  sugar-free   organic diet-self) lol  he wrote the prescription. WOW!!!!! I have lost some weight  I have gotten VERY organized  I don't constantly think about when I will get to sleep. It takes about an hour for me to feel ""awake""  and for me  it only lasts about 2-3 hours. So  I break the 30 mg Adderall in half and take half at 7am  half at 12pm and try not to take any more. [The more you take  the more quickly your body adjusts to it and it seems like it doesn't work anymore.]. I try to NOT take it as often as possible. It is good to take a day off/week. Ask your doctor if you could take ""Nuvigil"" for your day off Adderall. It is nice to be able to feel ""normal"" and not totally exhausted. Just try to take as little as possible. And  try to take ""days off"" if possible."
,4/2/2015 17:35,(55-64),Female,Patient,less than 1 month,Attention Deficit Disorder with Hyperactivity,2,3,5,1,
relieved,3/18/2015 2:28,(45-54),Female,Patient,1 to less than 2 years,Attention Deficit Disorder with Hyperactivity,5,5,5,19,"I found out later in life within last 2 years when I decided to go back to school. it has helped a lot with focus  being alert  and miminal side effects.
I wish I would have known when I was in grade school  think my life would have been a lot different."
Adobe,3/12/2015 13:40,(45-54),Female,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,1,2,5,14,"I am on Aderall 30XR by TEVA (Generic) that I got from local Wallgreens. It is absolutely 100% WORTHLESS. Drowsy  fatigue  ZERO help with concentration  etc.. Seriously 100% garabage. I did A LOT of research (after I came home from picking up script) and found numerous complaints about TEVAs ""fillers"" etc  that they put into this drug!!!  WHY DOES THE FDA ALLOW SUCH BS?? These are used (and NEEDED) to help so many people with serious issues of ADHD - yet  they (Teva) is allowed to sell products with the FDAs blessing that the drug can be 20% LESS EFFECTIVE than the Brand Name??  ARE YOU SERIOUS?!?!  

If you are perscribed 30mg XR - DO YOURSELF A FAVOR and INSIST with your Dr. on getting the brand name (SHIRE) instead of this TEVA Generic GARBAGE!!  Cannot belive the FDA allows this (wonder how much they are getting paid to look the other way)!!!

TEVA ADERALL = GARBAGE! Save your money"
Amybee,3/10/2015 11:40,(45-54),Female,Patient,1 to less than 2 years,Other,3,3,4,3,I was prescribed 15 mg twice a day for depression-related fatigue. I have stuck to just taking it once a day...It helped for several months then the effectiveness wore off. I have been off of the med for at least a week and I'm considering going back to taking it maybe a few times a week  to see if it will work better that way and I don't build up a tolerance again. I do not want to end up on high doses of this addictive med.
Gothchic,2/22/2015 20:05,(25-34),Female,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,5,5,5,14,I only wish I had found the proper treatment for my condition prior to adolescents.  Maybe I would have had an easier time getting through high school!
,2/28/2015 19:51,(55-64),Female,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,5,5,5,7,this medication worked so well for me....finally after years  doctors found I had ADD and prescribed adderalol.
TeenDoctor,2/13/2015 13:57,(13-18),Female,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,3,3,5,17,I had to take 35mg of Adderall in the morning before school  and then 5mg when i got home so it would last me until i went to sleep... But ive noticed that after the Adderall wears off  i would get very aggravated and i would get frustrated quickly and also i would have panic attacks and body tremors due to them wearing off.
teen,2/4/2015 21:40,(13-18),Female,Patient,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,5,5,5,9,Adderall is definitely very helpful when I need to get something done. I do get a very dry mouth and sometimes it causes me to focus on the wrong things.
changedman,1/30/2015 23:13,(55-64),Male,Patient,10 years or more,Attention Deficit Disorder with Hyperactivity,5,5,3,14,I could not believe that feeling of being able to concentrate could boost my self-esteem. My anxiety level has increased to some degree but but the pros out weight the cons. Ive been on this medicine for 12 years and developed a tolerance which  I now do not take everyday. It doesnt work the same for me as once in the beginning but it does helps my behavior. hopefully they can come out with a better type of Adderall. I get no side effects and no dependecy.
,1/16/2015 19:39,(35-44),Male,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,3,3,5,6,I am an adult male who was diagnosed this past summer.  I have been taking this for about 3 months at 5mg twice a day.  I haven't had a chance to check in with my physician  but the mess seem hit or miss.  When it works  I really feel I can actually be productive and successful. I wonder if when I talk to my doctor if we will look at other mess or increase my dosage.
Lagunagrl,1/3/2015 18:56,(55-64),Female,Patient,1 to less than 2 years,Attention Deficit Disorder with Hyperactivity,2,3,3,5,My question for other reviewers is how extensive was the testing before you were diagnosed with ADHD? This is for adults in particular. My prescribing psychiatrist gave me a short list of statements to rate (maybe six to eight) and on that alone she prescribed what to me is a powerful drug. It's not as if she's an expert in this field. I'm beginning to think she's not a very good psychiatrists. Thoughts? Thanks.
